Points,K,MultEps,MinPts,Nodes,S1-Parsing,S2-Kd-tree,S3-Up max angles,S3.5-AllGather angles,S4-EPS&other,S5-DBSCAN,S6-Border-tree,S7-Core points,S7.5-AlltoAll,S8-File print/Total Time,NumberClusters,CPUinfo
52072,5,1.30,7,1,0.0103,0.0765,15.0033,15.0062,15.0075,29.8688,29.8791,34.0556,34.0563,34.2208,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,1,0.0343,0.1354,26.6742,26.6779,26.6799,48.2827,48.2971,55.6126,55.6141,55.9024,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0070,0.1024,26.1949,26.1974,26.1994,47.9229,47.9375,55.2818,55.2833,55.6076,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0062,0.1017,26.2041,26.2067,26.2087,47.8850,47.8996,55.2359,55.2374,55.5629,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0093,0.1092,26.6935,26.6964,26.6983,48.2965,48.3112,55.7378,55.7392,55.8447,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0091,0.1095,26.7891,26.7918,26.7937,48.3963,48.4110,55.8677,55.8689,56.0102,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0232,0.1242,26.7192,26.7217,26.7236,48.3512,48.3658,55.7715,55.7731,55.9009,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0129,0.1125,26.7408,26.7432,26.7454,48.4753,48.4905,56.0427,56.0442,56.1765,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0078,0.1031,26.2495,26.2523,26.2542,48.0111,48.0261,55.4344,55.4360,55.5689,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,2,0.0340,0.0987,6.7812,7.9412,7.9428,22.7310,22.7411,24.6265,25.0174,25.1949,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,2,0.1028,0.2016,12.6305,13.3715,13.3738,35.1705,35.1858,38.6497,38.6509,38.8421,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,2,0.0226,0.1115,11.2869,14.0376,14.0400,34.0459,34.0595,37.1842,39.0062,39.1964,10,Intel(R) Xeon(R) Gold 5220 CPU @ 2.20GHz
52072,5,1.30,7,2,0.0328,0.1278,12.2532,14.5003,14.5025,36.2299,36.2448,39.6476,40.3683,40.6260,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,2,0.0328,0.1304,12.4917,14.1834,14.1856,35.8973,35.9127,39.4031,39.9102,40.1639,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,2,0.0529,0.1511,12.5376,14.4534,14.4556,36.1931,36.2085,39.6982,40.2089,40.4491,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,2,0.0628,0.1620,12.2836,14.1864,14.1885,35.8393,35.8538,39.2460,39.7697,40.0506,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,2,0.0432,0.1387,12.3038,14.5780,14.5803,36.3014,36.3162,39.7045,40.6091,40.9182,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,2,0.0332,0.1337,12.4620,14.5181,14.5203,36.1958,36.2111,39.6963,40.4406,40.7677,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0382,0.1385,2.3569,4.4098,4.4123,26.1080,26.1232,26.6982,28.3374,28.4691,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0679,0.1648,2.3632,3.9867,3.9890,25.7314,25.7466,26.3120,26.3126,26.3472,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0368,0.1349,2.3662,4.3642,4.3665,26.1252,26.1407,26.7186,27.9766,28.0391,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0376,0.1376,2.3627,4.4235,4.4259,26.1461,26.1615,26.7360,28.4275,28.4740,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0500,0.1170,1.3243,2.4913,2.4931,17.3911,17.4020,17.7207,17.8580,18.0879,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,8,0.0383,0.1367,2.3154,4.4285,4.4308,26.1614,26.1763,26.7367,28.0500,28.2060,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0263,0.1218,2.3118,4.3573,4.3596,26.1255,26.1405,26.7017,27.6949,27.7565,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0371,0.1359,2.3709,4.2903,4.2927,26.1736,26.1885,26.7578,27.4915,27.6038,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0483,0.1464,2.3265,4.4199,4.4222,26.0273,26.0421,26.5973,28.2856,28.3811,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0582,0.1250,1.3382,2.4911,2.4928,17.4608,17.4719,17.7817,17.8981,18.1431,10,Intel(R) Xeon(R) Gold 6418H
